Benchmark                                                                  (entities)  (entityCount)   Mode  Cnt    Score     Error   Units
c.e.e.bench.MixedModeRunnerBenchmark.runParallel                                 1000            N/A  thrpt   25   25.015 ±   4.252  ops/ms
c.e.e.bench.MixedModeRunnerBenchmark.runParallel                                10000            N/A  thrpt   25    3.981 ±   0.213  ops/ms
c.e.e.bench.MixedModeRunnerBenchmark.runParallel                                50000            N/A  thrpt   25    1.502 ±   0.217  ops/ms
c.e.e.bench.MixedModeRunnerBenchmark.runSequential                               1000            N/A  thrpt   25   28.940 ±   0.341  ops/ms
c.e.e.bench.MixedModeRunnerBenchmark.runSequential                              10000            N/A  thrpt   25    2.703 ±   0.015  ops/ms
c.e.e.bench.MixedModeRunnerBenchmark.runSequential                              50000            N/A  thrpt   25    0.286 ±   0.057  ops/ms
c.e.e.benchmark.ComponentManagerBenchmark.throughput_EntitiesPerSecond            N/A         100000  thrpt    5  308.402 ± 356.977   ops/s
c.e.e.benchmark.ComponentManagerBenchmark.throughput_EntitiesPerSecond            N/A        1000000  thrpt    5   29.361 ±  25.475   ops/s
c.e.e.benchmark.ComponentManagerBenchmark.archetypeMigration                      N/A            N/A   avgt    5    2.754 ±   0.896   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentAddition                       N/A             10   avgt    5    0.079 ±   0.012   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentAddition                       N/A            100   avgt    5    0.104 ±   0.009   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentAddition                       N/A           1000   avgt    5    0.341 ±   0.019   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentAddition                       N/A          10000   avgt    5    2.680 ±   0.312   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentAddition                       N/A         100000   avgt    5   27.109 ±  10.024   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentAddition                       N/A        1000000   avgt    5  323.593 ± 243.591   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.componentRegistration                   N/A            N/A   avgt    5    0.002 ±   0.001   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.entityCreation                          N/A             10   avgt    5    0.006 ±   0.001   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.entityCreation                          N/A            100   avgt    5    0.017 ±   0.001   ms/op
c.e.e.benchmark.ComponentManagerBenchmark.entityCreation                          N/A           1000   avgt    5    0.132 ±   0.009   ms/op
